,,, ,Wheel 1,,,,Wheel 2,,,
Run,Previous Best,Recorded Time,Evolutions,Size,Max Speed,Max Torque,Damping Ratio,Size,Max Speed,Max Torque,Damping Ratio
134,00:10.302,00:20.616,3,0.34,-156.59,2.9,1.56,0.86,-40.94,82.03,9.92
135,00:10.302,00:20.608,3,0.04,-156.59,2.9,9.56,0.86,-40.94,82.03,9.92
127,00:10.302,00:20.614,3,0.87,-58.84,22.57,2.21,0.55,-149.75,22.68,7.34
136,00:10.302,00:20.609,3,0.04,-84.82,2.9,9.56,0.4,-40.94,82.03,9.92
138,00:10.302,00:20.616,3,0.04,-84.82,24.73,8.09,0.4,-40.94,82.03,9.92
139,00:18.440,00:18.440,3,0.04,-42.09,24.73,8.09,0.4,-81.56,82.03,9.92
140,00:13.693,00:13.693,4,0.04,-42.09,24.73,8.09,0.83,-81.56,92.28,9.92
141,00:12.936,00:12.936,5,0.04,-42.09,96.91,8.74,0.83,-81.56,92.28,9.92
142,00:12.420,00:12.420,6,0.04,-13.36,96.91,8.74,0.89,-81.56,92.28,9.92
143,00:12.420,00:24.101,6,0.04,-117.43,96.91,8.74,0.89,-81.56,58.32,9.92
144,00:07.484,00:07.484,7,0.04,-117.43,96.91,8.74,0.4,-81.56,58.32,9.92
145,00:07.484,00:14.973,7,0.04,-117.43,96.91,5.31,0.4,-81.56,13.85,9.92
146,00:07.484,00:14.972,7,0.04,-117.43,96.91,8.19,0.4,-81.56,13.85,7.85
147,00:07.484,00:14.985,7,0.04,-117.43,96.91,8.19,0.4,-129.54,13.85,7.85
148,00:07.484,00:14.968,7,0.4,-117.43,90.89,8.19,0.4,-129.54,13.85,7.85
149,00:07.484,00:14.974,7,0.44,-117.43,90.89,8.19,0.4,-129.54,13.85,7.85
150,00:07.484,00:14.976,7,0.44,-117.43,90.89,8.19,0.4,-0.55,48.63,7.85
151,00:07.484,00:14.982,7,0.44,-119.27,90.89,4.84,0.4,-0.55,48.63,7.85
152,00:07.484,00:14.976,7,0.78,-186.66,90.89,4.84,0.4,-0.55,48.63,7.85
153,00:07.484,00:14.984,7,0.78,-186.66,90.89,4.84,0.4,-0.55,48.63,3.78
139,00:18.440,00:18.440,3,0.48,-84.82,11.42,8.09,0.4,-40.94,82.03,7.34
154,00:07.484,00:14.971,7,0.78,-186.66,90.89,7.7,0.4,-0.55,38.23,3.78
156,00:07.484,00:14.969,7,0.78,-186.66,90.89,7.7,0.4,-116.9,79.14,3.78
157,00:07.484,00:14.977,7,0.27,-186.66,90.89,7.7,0.4,-116.9,79.14,6.55
158,00:07.484,00:14.974,7,0.76,-186.66,90.89,7.7,0.4,-116.9,79.14,6.55
159,00:07.484,00:14.974,7,0.5,-186.66,90.89,5.61,0.4,-116.9,79.14,6.55
160,00:07.484,00:14.977,7,0.47,-186.66,90.89,5.61,0.05,-116.9,79.14,6.55
161,00:07.484,00:14.969,7,0.47,-186.66,41.62,5.61,0.05,-56.2,79.14,6.55
162,00:07.484,00:14.975,7,0.03,-186.66,41.62,5.61,0.05,-56.2,79.14,6.55
163,00:07.484,00:14.976,7,0.64,-84.09,41.62,5.61,0.05,-56.2,79.14,6.55
155,00:18.440,00:36.890,3,0.48,-23.52,11.42,8.09,0.4,-142.23,82.03,7.34
164,00:07.484,00:14.970,7,0.15,-84.09,41.62,5.61,0.05,-56.2,63.77,6.55
166,00:07.484,00:14.976,7,0.15,-84.09,41.62,5.61,0.05,-122.49,63.77,1.55
167,00:07.484,00:14.971,7,0.15,-96.44,41.62,5.61,0.06,-122.49,63.77,1.55
168,00:07.484,00:14.983,7,0.15,-96.44,44.02,3.06,0.06,-122.49,63.77,1.55
